idReserva,fechaEntrada,fechaSalida,noHabitacion,cedula
1001,2024-07-01 14:00:00-05,2024-07-03 12:00:00-05,101,1234567890
1002,2024-07-02 15:00:00-05,2024-07-05 11:00:00-05,104,9876543210
1003,2024-07-03 16:00:00-05,2024-07-06 10:00:00-05,204,5555555555
1004,2024-07-04 14:30:00-05,2024-07-07 12:30:00-05,201,1111111111
1005,2024-07-05 15:30:00-05,2024-07-08 11:30:00-05,205,2222222222
1006,2024-07-10 14:00:00-05,2024-07-12 12:00:00-05,301,1010101010
1007,2024-07-15 16:00:00-05,2024-07-18 10:00:00-05,302,1212121212
1008,2024-07-20 15:00:00-05,2024-07-23 11:00:00-05,304,1313131313
1009,2024-07-25 14:00:00-05,2024-07-28 12:00:00-05,105,1234567890
1010,2024-08-01 16:00:00-05,2024-08-04 10:00:00-05,305,9876543210
